Index,Review,Result,Aspect,Opinion,FOOD#STYLE&OPTIONS,FOOD#QUALITY,AMBIENCE#GENERAL,RESTAURANT#GENERAL,SERVICE#GENERAL,FOOD#PRICES,RESTAURANT#PRICES,LOCATION#GENERAL,RESTAURANT#MISCELLANEOUS,DRINKS#STYLE&OPTIONS,DRINKS#PRICES,DRINKS#QUALITY
#13,quảng mấy tiệm mì quảng nấu mì quảng_bà dzũ cảm chất đà_nẵng mì quảng_quán món quảng ngon bún cá cam bún_bò đà_nẵng xài thịt bò giò bún mắm nêm chè đậu_ngự quán quảng quảng món quảng người_ta nao tô_bé đẹp tô_bé cưng cà_phê tình mê bún mắm tình đắm phì_cười quán thoáng mát vội đừng chờ thong_thả quán quên,"[['RESTAURANT#GENERAL', 'positive'], ['FOOD#QUALITY', 'positive'], ['FOOD#STYLE&OPTIONS', 'positive'], ['AMBIENCE#GENERAL', 'positive']]","['RESTAURANT#GENERAL', 'FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'AMBIENCE#GENERAL']","['positive', 'positive', 'positive', 'positive']",1.0,1.0,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#14,quán cơm chay thuyền_viên ổn mùi thơm rau cải giòn mì mùi hôi_dầu chỗ tương_hơi dở lạt tương giá giá đĩa món chay cơm phở hủ_tiếu bún thái món vặt chay phụ_liệu nấu đồ chay ổn,"[['FOOD#QUALITY', 'neutral'], ['FOOD#PRICES', 'positive'], ['FOOD#STYLE&OPTIONS', 'positive']]","['FOOD#QUALITY', 'FOOD#PRICES', 'FOOD#STYLE&OPTIONS']","['neutral', 'positive', 'positive']",1.0,0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#15,quán hẻm đường nguyễn_cư trinh cực_kì đồ đa_dạng ngon nem nướng giá_cả hợp_lý nhân_viên phục_vụ nhiệt_tình nè,"[['LOCATION#GENERAL', 'positive'], ['FOOD#STYLE&OPTIONS', 'positive'], ['FOOD#QUALITY', 'positive'], ['FOOD#PRICES', 'positive'], ['SERVICE#GENERAL', 'positive'], ['RESTAURANT#GENERAL', 'positive']]","['LOCATION#GENERAL', 'FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'FOOD#PRICES', 'SERVICE#GENERAL', 'RESTAURANT#GENERAL']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive']",1.0,1.0,-0.5,1.0,1.0,1.0,-0.5,1.0,-0.5,-0.5,-0.5,-0.5
#16,gyu bef giá g x g at minimum for đặt_hàng nhen medrare sauce chi menu giá sauce ớt chuông rau ol yêu oil sauce blue chese béo ngon hình_như giá hơi nhẫn đắng chese mặn đút lò ngon món quên òi hong giá ngon thơm salad a cỡ giá rau cải ngựa hành khoanh chese sốt_hành nồng khó_ăn,"[['FOOD#PRICES', 'neutral'], ['FOOD#QUALITY', 'neutral']]","['FOOD#PRICES', 'FOOD#QUALITY']","['neutral', 'neutral']",-0.5,0.5,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#17,đi vô đường chấn_hưng xiú quán bún thịt nướng hải_đăng nổi_tiếng hẳn quán lắm nha quán dạng bình_dân sân_nhà rộng xe miễn_phí đầy_đủ giá chả_giò thịt nướng nem xô nước_mắm inox bàn lun múc gọi dĩa bún ra_sức mặn phục_vụ gọn nóng_hổi sẵn hotgirl tiền tích_cực,"[['LOCATION#GENERAL', 'neutral'], ['RESTAURANT#GENERAL', 'positive'], ['AMBIENCE#GENERAL', 'positive'], ['RESTAURANT#MISCELLANEOUS', 'positive'], ['FOOD#PRICES', 'positive'], ['FOOD#STYLE&OPTIONS', 'neutral'], ['FOOD#QUALITY', 'positive'], ['SERVICE#GENERAL', 'positive']]","['LOCATION#GENERAL', 'RESTAURANT#GENERAL', 'AMBIENCE#GENERAL', 'RESTAURANT#MISCELLANEOUS', 'FOOD#PRICES', 'FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'SERVICE#GENERAL']","['neutral', 'positive', 'positive', 'positive', 'positive', 'neutral', 'positive', 'positive']",0.5,1.0,1.0,1.0,1.0,1.0,-0.5,0.5,1.0,-0.5,-0.5,-0.5
#18,quán khu trung_tâm đông trưa bok chỗ hình bánh_tráng phơi sương thịt giò giá giá dọn kèm bánh_tráng phơi sương dẻo rau rừng tươi xanh dĩa đồ chua nước_mắm mắm_nêm quán cọ món tủ bánh_canh giá cháo sò lông vô gọi chè khúc bạch nhắc ht trà_đá k ly khăn lạnh kquán nhân ciên vô_cùng niềm_nở dễ_thương nha tiền xe k_thoai,"[['LOCATION#GENERAL', 'positive'], ['FOOD#PRICES', 'neutral'], ['FOOD#STYLE&OPTIONS', 'positive'], ['DRINKS#STYLE&OPTIONS', 'positive'], ['SERVICE#GENERAL', 'positive'], ['RESTAURANT#MISCELLANEOUS', 'negative']]","['LOCATION#GENERAL', 'FOOD#PRICES', 'FOOD#STYLE&OPTIONS', 'DRINKS#STYLE&OPTIONS', 'SERVICE#GENERAL', 'RESTAURANT#MISCELLANEOUS']","['positive', 'neutral', 'positive', 'positive', 'positive', 'negative']",1.0,-0.5,-0.5,-0.5,1.0,0.5,-0.5,1.0,-1.0,1.0,-0.5,-0.5
#19,hình gà bó xôi truyền_thống giá xôi thơm dẻo giòn_rụm gà dai dai ướp thấm gia_vị order tiếng giao liền nóng_hổi hộp bao_bì hộp đựng sạch_sẽ bao_tay nilong xé gà nhân_viên chuyên_nghiệp dễ_thương order website tham_khảo menu gà súp bò hầm tiêu gỏi củ hủ dừa triệu xíu dư nha bò hầm tiêu xanh ngon lắm lắm gỏi củ hủ dừa hơi xíu khẩu_vị miền nam súp đậm_đà thịt nấm trứng cút lắm thử món nè hie hie,"[['FOOD#PRICES', 'positive'], ['FOOD#QUALITY', 'positive'], ['FOOD#STYLE&OPTIONS', 'positive'], ['SERVICE#GENERAL', 'positive'], ['RESTAURANT#GENERAL', 'positive']]","['FOOD#PRICES', 'FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'SERVICE#GENERAL', 'RESTAURANT#GENERAL']","['positive', 'positive', 'positive', 'positive', 'positive']",1.0,1.0,-0.5,1.0,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#20,quán nằm mặt_tiền đường sư vạn hạnh đồ bánh_bèo bánh bột lọc bánh_nậm bánh_ít ram nem huế chả huế bánh thơm ngon nước_mắm hơi giá_cả giá mâm bánh_bèo chén dĩa giá_như hình nem chả không_gian quán bình_dân hơi chật trời hơi nóng quán đông bàn coi xe,"[['LOCATION#GENERAL', 'positive'], ['FOOD#STYLE&OPTIONS', 'positive'], ['FOOD#QUALITY', 'neutral'], ['FOOD#PRICES', 'neutral'], ['AMBIENCE#GENERAL', 'negative'], ['RESTAURANT#MISCELLANEOUS', 'negative']]","['LOCATION#GENERAL', 'FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'FOOD#PRICES', 'AMBIENCE#GENERAL', 'RESTAURANT#MISCELLANEOUS']","['positive', 'positive', 'neutral', 'neutral', 'negative', 'negative']",1.0,0.5,-1.0,-0.5,-0.5,0.5,-0.5,1.0,-1.0,-0.5,-0.5,-0.5
#21,giòn giòn cực cơm nhật dưa_leo trứng cua_mềm tuyệt,"[['FOOD#QUALITY', 'positive']]",['FOOD#QUALITY'],['positive'],-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#22,cấp_độ sức chịu_đựng nóng cay cay mà_toát mồ_hôi hột khẩu_vị không_gian hơi chật thoáng trang_trí đẹp phong_cách hường cuốc,"[['FOOD#QUALITY', 'positive'], ['AMBIENCE#GENERAL', 'neutral']]","['FOOD#QUALITY', 'AMBIENCE#GENERAL']","['positive', 'neutral']",-0.5,1.0,0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#23,gà rán giòn ướp vị chua_cay ngon bánh kèm giòn thơm mùi bơ,"[['FOOD#QUALITY', 'positive'], ['FOOD#STYLE&OPTIONS', 'positive']]","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","['positive', 'positive']",1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#24,đầu ăn_ở ngon lạ chỗ vincom quang_trung món ăn_ở no căng,"[['FOOD#QUALITY', 'positive'], ['FOOD#STYLE&OPTIONS', 'positive']]","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","['positive', 'positive']",1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#25,đầu ăn_ở ngon lạ chỗ vincom quang_trung món ăn_ở no căng tặng kèm cơm canh đồ_ăn,"[['FOOD#QUALITY', 'positive'], ['FOOD#STYLE&OPTIONS', 'positive'], ['FOOD#PRICES', 'positive']]","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'FOOD#PRICES']","['positive', 'positive', 'positive']",1.0,1.0,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#26,mì cay hàn_quốc êi mì dai nah hải_sản nah tôm mực nước_dùng bao cay nah đồng_tiền lúm nha phục_vụ nhiệt_tình giá_cả hợp_lí neh,"[['FOOD#QUALITY', 'positive'], ['FOOD#STYLE&OPTIONS', 'positive'], ['FOOD#PRICES', 'positive'], ['SERVICE#GENERAL', 'positive']]","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'FOOD#PRICES', 'SERVICE#GENERAL']","['positive', 'positive', 'positive', 'positive']",1.0,1.0,-0.5,-0.5,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#27,mì hến bắc hà hến ngon chỗ bột_ngọt mì đi vị tự_nhiên hến cay mì hến ngô_văn sở quán mát rộng_rãi,"[['FOOD#QUALITY', 'positive'], ['AMBIENCE#GENERAL', 'positive']]","['FOOD#QUALITY', 'AMBIENCE#GENERAL']","['positive', 'positive']",-0.5,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#28,chương_trình ẩm_thực nghệ_sĩ việt hương quán đi tối quán động cực_kì chỗ san_sát số_lượng động chờ món vỏ bánh_tráng mềm dai bánh nóng ăn_liền ngon,"[['RESTAURANT#GENERAL', 'positive'], ['SERVICE#GENERAL', 'negative'], ['FOOD#QUALITY', 'positive']]","['RESTAURANT#GENERAL', 'SERVICE#GENERAL', 'FOOD#QUALITY']","['positive', 'negative', 'positive']",-0.5,1.0,-0.5,1.0,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#29,phở nhân nước_chấm ngon người_ăn no mấy bánh_phở hơi cứng dai pc nem nem nướng đậm vị nước_chấm tuyệt pc nem giá pc tôm thịt giá p,"[['FOOD#STYLE&OPTIONS', 'positive'], ['FOOD#QUALITY', 'neutral'], ['FOOD#PRICES', 'neutral']]","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'FOOD#PRICES']","['positive', 'neutral', 'neutral']",1.0,0.5,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#30,bánh_cuốn tây hồ chất_lượng tuyệt_vời địa_chỉ đinh_tiên hoàng đa kao q_quán nằm đường đinh_tiên hoàng nổi_tiếng mê bánh_cuốn bánh_cuốn đâystar không_gian không_gian quán hơi cao_điểm đông bàn đợi chỗ máy_lạnh quạt_máy hơi nóng chútstar thức_ăn bánh_cuốn no cực_kì chất_lượng chất_lượng hình_thức mùi_vị hình_thức trang_trí bắt_mắt mùi_vị đậm_đà chả_quế chả lụastar cung_cách phục vụcó thể nhân_viên phục_vụ chiều tận_tình star giá_cả vẻ hơi đắt tiền bánh_cuốn nổi_tiếng lâu_đời giá đắt chấp_nhận thử bánh_cuốn ghiền đấy,"[['LOCATION#GENERAL', 'neutral'], ['AMBIENCE#GENERAL', 'negative'], ['FOOD#STYLE&OPTIONS', 'positive'], ['FOOD#QUALITY', 'positive'], ['SERVICE#GENERAL', 'positive'], ['FOOD#PRICES', 'neutral'], ['RESTAURANT#GENERAL', 'positive']]","['LOCATION#GENERAL', 'AMBIENCE#GENERAL', 'FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'SERVICE#GENERAL', 'FOOD#PRICES', 'RESTAURANT#GENERAL']","['neutral', 'negative', 'positive', 'positive', 'positive', 'neutral', 'positive']",1.0,1.0,-1.0,1.0,1.0,0.5,-0.5,0.5,-0.5,-0.5,-0.5,-0.5
#31,bánh_đa trộn b_t nghĩa tân_điểm chỗ bât bưng nóng_hổi kiểu ngon vắt tầm quất đáp_ứng độ chua bánh_đa mềm dai giò tai cắt miếng to giòn giòn miếng chả cá hơi còi_cọc hơi phùng_hưng chỗ nhạt gọi xì_dầu nhégiá bát đầy_đặn nước_dùng thơm dậy_mùi cua k trà đá nghìn_cốc,"[['FOOD#STYLE&OPTIONS', 'neutral'], ['FOOD#QUALITY', 'positive'], ['FOOD#PRICES', 'positive'], ['DRINKS#PRICES', 'neutral']]","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'FOOD#PRICES', 'DRINKS#PRICES']","['neutral', 'positive', 'positive', 'neutral']",0.5,1.0,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,0.5,-0.5
#32,mete co khuyến_mãi combo mì udon hải_sản bánh mochi giá mì udon hơi nước_dùng nấu sệt sệt đậm mùi hải_sản vị cay ng cay tô mì chất_lượng hẳn ghẹ to o_o ghẹ hơi thịt tô mì nấu_ăn nóng_hổi quán đi tối hơi đông đấy đi trưa vắng khỏe bánh mochi oke quán sushi giá ok sinh_viên,"[['FOOD#PRICES', 'positive'], ['FOOD#STYLE&OPTIONS', 'neutral'], ['FOOD#QUALITY', 'positive']]","['FOOD#PRICES', 'FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","['positive', 'neutral', 'positive']",0.5,1.0,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#33,metesaigon khuyến_mãi mua gà trái_tim giá tặng món đồng giá gà style gà đài loan opa chicken so_sánh vị đậm_đà gà nóng_hổi lớp da cắn giòn_rụm gà trái_tim chủ_yếu thịt ức gà khô bở thịt mềm dai gà_viên giá gia_vị ướp thấm mấy cục thịt gà lắm bánh_khoai_tây giá ướp hẳn gia_vị ngon tiếc khoai_tây hơi bở trà bí_đao uống thích_hợp giải_nhiệt đống đồ chiên trừ quán tí rau củ_ăn kèm mấy đống đồ chiên hơi ngán giá_cả sinh_viên giá quán q,"[['FOOD#PRICES', 'positive'], ['FOOD#STYLE&OPTIONS', 'neutral'], ['FOOD#QUALITY', 'positive'], ['DRINKS#QUALITY', 'positive'], ['RESTAURANT#PRICES', 'positive'], ['LOCATION#GENERAL', 'positive']]","['FOOD#PRICES', 'FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'DRINKS#QUALITY', 'RESTAURANT#PRICES', 'LOCATION#GENERAL']","['positive', 'neutral', 'positive', 'positive', 'positive', 'positive']",0.5,1.0,-0.5,-0.5,-0.5,1.0,1.0,1.0,-0.5,-0.5,-0.5,1.0
#34,star cập_nhật giá cháo_₫ cháo_₫ cháo ₫ star sâm k nước_ngọt tuỳ trà_đá k quán lề_đường sạch_sẽ nấu ếch tại_chỗ phụ vụ hơi gọi tiền ngon,"[['FOOD#STYLE&OPTIONS', 'positive'], ['FOOD#PRICES', 'neutral'], ['DRINKS#STYLE&OPTIONS', 'positive'], ['DRINKS#PRICES', 'neutral'], ['AMBIENCE#GENERAL', 'neutral'], ['SERVICE#GENERAL', 'negative'], ['FOOD#QUALITY', 'positive']]","['FOOD#STYLE&OPTIONS', 'FOOD#PRICES', 'DRINKS#STYLE&OPTIONS', 'DRINKS#PRICES', 'AMBIENCE#GENERAL', 'SERVICE#GENERAL', 'FOOD#QUALITY']","['positive', 'neutral', 'positive', 'neutral', 'neutral', 'negative', 'positive']",1.0,1.0,0.5,-0.5,-1.0,0.5,-0.5,-0.5,-0.5,1.0,0.5,-0.5
#35,star quán nằm mặt tiền_đường kì đồng cực_kì kiếmstar quán không_gian rộng_rãi lầu trệtstar món đặc_trưng bún_bò siêu ngon chuẩn bún_bò huế,"[['LOCATION#GENERAL', 'positive'], ['AMBIENCE#GENERAL', 'positive'], ['FOOD#QUALITY', 'positive'], ['FOOD#STYLE&OPTIONS', 'positive']]","['LOCATION#GENERAL', 'AMBIENCE#GENERAL', 'FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","['positive', 'positive', 'positive', 'positive']",1.0,1.0,1.0,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5
#36,tag kiểu ngon không_tưởng,"[['FOOD#STYLE&OPTIONS', 'positive'], ['FOOD#QUALITY', 'positive']]","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","['positive', 'positive']",1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#37,tag phở thìn nổi_tiếng tối muộn nườm_nượp tái lăn vị thịt bò xào nước_dùng lẫn đi siêu thịt bò no ngon,"[['RESTAURANT#GENERAL', 'positive'], ['FOOD#QUALITY', 'positive'], ['FOOD#STYLE&OPTIONS', 'positive']]","['RESTAURANT#GENERAL', 'FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","['positive', 'positive', 'positive']",1.0,1.0,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#38,tag bữa tân_sanh hoạt ntmk quán bình_dân giá nhà_hàng ng giá giágiá tiền tí choáng dở xuất_sắc xứng tiền,"[['LOCATION#GENERAL', 'neutral'], ['AMBIENCE#GENERAL', 'neutral'], ['RESTAURANT#PRICES', 'negative'], ['FOOD#PRICES', 'negative'], ['FOOD#QUALITY', 'neutral']]","['LOCATION#GENERAL', 'AMBIENCE#GENERAL', 'RESTAURANT#PRICES', 'FOOD#PRICES', 'FOOD#QUALITY']","['neutral', 'neutral', 'negative', 'negative', 'neutral']",-0.5,0.5,0.5,-0.5,-0.5,-1.0,-1.0,0.5,-0.5,-0.5,-0.5,-0.5
#39,tagtag tô giá ăn_vậy rau bánh_tráng quán quán quảng_ngãi vô hiền lắm don giá quên chụp bàn grencros rửa,"[['FOOD#PRICES', 'neutral'], ['FOOD#STYLE&OPTIONS', 'neutral'], ['SERVICE#GENERAL', 'positive'], ['AMBIENCE#GENERAL', 'positive']]","['FOOD#PRICES', 'FOOD#STYLE&OPTIONS', 'SERVICE#GENERAL', 'AMBIENCE#GENERAL']","['neutral', 'neutral', 'positive', 'positive']",0.5,-0.5,1.0,-0.5,1.0,0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#40,tag tag tag tag lẩu shabu miso nha nhân_viên,"[['FOOD#STYLE&OPTIONS', 'positive'], ['SERVICE#GENERAL', 'positive']]","['FOOD#STYLE&OPTIONS', 'SERVICE#GENERAL']","['positive', 'positive']",1.0,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#41,tag tag tag chả ngon,"[['FOOD#QUALITY', 'negative']]",['FOOD#QUALITY'],['negative'],-0.5,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#42,tag tag tag tag ngon bổ rẻ khuyết là_hơi trung_tâm,"[['FOOD#QUALITY', 'positive'], ['FOOD#PRICES', 'positive'], ['LOCATION#GENERAL', 'negative']]","['FOOD#QUALITY', 'FOOD#PRICES', 'LOCATION#GENERAL']","['positive', 'positive', 'negative']",-0.5,1.0,-0.5,-0.5,-0.5,1.0,-0.5,-1.0,-0.5,-0.5,-0.5,-0.5
