Index,Review,Result,Aspect,Opinion,HOTEL#DESIGN&FEATURES,HOTEL#GENERAL,LOCATION#GENERAL,SERVICE#GENERAL,HOTEL#COMFORT,HOTEL#CLEANLINESS,FACILITIES#GENERAL,ROOMS#CLEANLINESS,ROOM_AMENITIES#COMFORT,ROOMS#COMFORT,FACILITIES#PRICES,ROOM_AMENITIES#GENERAL,DRINKS#STYLE&OPTIONS,ROOMS#PRICES,ROOMS#DESIGN&FEATURES,ROOMS#GENERAL,HOTEL#QUALITY,ROOMS#QUALITY,DRINKS#QUALITY,HOTEL#PRICES,FACILITIES#DESIGN&FEATURES,FACILITIES#QUALITY,ROOM_AMENITIES#QUALITY,ROOM_AMENITIES#CLEANLINESS,ROOM_AMENITIES#DESIGN&FEATURES,HOTEL#MISCELLANEOUS,DRINKS#PRICES,FACILITIES#COMFORT,DRINKS#MISCELLANEOUS,FACILITIES#CLEANLINESS,FACILITIES#MISCELLANEOUS,ROOMS#MISCELLANEOUS,ROOM_AMENITIES#MISCELLANEOUS
#11,ý_định check in chẳng chẳng khiêng hành_lý phòng hic hành_lý xe phòng nhân_viên dễ_thương,"[['HOTEL#GENERAL', 'positive'], ['SERVICE#GENERAL', 'neutral']]","['HOTEL#GENERAL', 'SERVICE#GENERAL']","['positive', 'neutral']",-0.5,1.0,-0.5,0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#12,khách_sạn phòng prem yêu m khuyến m atildei chudu giá khuyến m atildei phòng ngỡ_ngàng sạch đẹp view đẹp thái_độ phục_vụ nhân_viên dịch_vụ khách_sạn,"[['ROOMS#PRICES', 'positive'], ['ROOMS#CLEANLINESS', 'positive'], ['ROOMS#DESIGN&FEATURES', 'positive'], ['ROOMS#GENERAL', 'positive'], ['SERVICE#GENERAL', 'positive'], ['HOTEL#GENERAL', 'positive']]","['ROOMS#PRICES', 'ROOMS#CLEANLINESS', 'ROOMS#DESIGN&FEATURES', 'ROOMS#GENERAL', 'SERVICE#GENERAL', 'HOTEL#GENERAL']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive']",-0.5,1.0,-0.5,1.0,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#13,hài_lòng khách_sạn đội_ngũ nhân_viên phục_vụ nhiệt_tình thân_thiện phòng rộng cảm_giác thoải_mái nhân_viên ân_cần giúp_đỡ đi du_lịch mytour phòng khách_sạn,"[['HOTEL#COMFORT', 'positive'], ['SERVICE#GENERAL', 'positive'], ['ROOMS#DESIGN&FEATURES', 'positive'], ['ROOMS#COMFORT', 'positive'], ['HOTEL#GENERAL', 'positive']]","['HOTEL#COMFORT', 'SERVICE#GENERAL', 'ROOMS#DESIGN&FEATURES', 'ROOMS#COMFORT', 'HOTEL#GENERAL']","['positive', 'positive', 'positive', 'positive', 'positive']",-0.5,1.0,-0.5,1.0,1.0,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#14,minh hài_lòng chất_lượng khách_sạn phục_vụ tận_tình nhân_viên phòng rộng sạch_sẽ tiện_nghi vi trí khách_sạn trung_tâm tiện đi_lại di_chuyển_mình chuyến đi tuyệt_vời,"[['HOTEL#QUALITY', 'positive'], ['SERVICE#GENERAL', 'positive'], ['ROOMS#DESIGN&FEATURES', 'positive'], ['ROOMS#CLEANLINESS', 'positive'], ['ROOMS#COMFORT', 'positive'], ['LOCATION#GENERAL', 'positive'], ['HOTEL#COMFORT', 'positive']]","['HOTEL#QUALITY', 'SERVICE#GENERAL', 'ROOMS#DESIGN&FEATURES', 'ROOMS#CLEANLINESS', 'ROOMS#COMFORT', 'LOCATION#GENERAL', 'HOTEL#COMFORT']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive']",-0.5,-0.5,1.0,1.0,1.0,-0.5,-0.5,1.0,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#15,khách_sạn đẹp hài_lòng dịch_vụ chất_lượng phòng phục_vụ nhân_viên giá_cả hợp_lý phàn_nàn nghỉ_ngơi,"[['HOTEL#DESIGN&FEATURES', 'positive'], ['HOTEL#COMFORT', 'positive'], ['SERVICE#GENERAL', 'positive'], ['ROOMS#QUALITY', 'positive'], ['ROOMS#PRICES', 'positive']]","['HOTEL#DESIGN&FEATURES', 'HOTEL#COMFORT', 'SERVICE#GENERAL', 'ROOMS#QUALITY', 'ROOMS#PRICES']","['positive', 'positive', 'positive', 'positive', 'positive']",1.0,-0.5,-0.5,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#16,khách_sạn nằm trung_tâm thành_phố nằm đường vành_đai khách_sạn đẹp tọa_lạc đường chạy vòng_quanh hồ tây khách_sạn phòng hướng biển rộng thoáng đồ ngon phong_phú xung_quanh khách_sạn món ngon dịch_vụ giải_trí du_khách lựa_chọn,"[['LOCATION#GENERAL', 'positive'], ['ROOMS#DESIGN&FEATURES', 'positive'], ['ROOMS#COMFORT', 'positive'], ['DRINKS#QUALITY', 'positive'], ['DRINKS#STYLE&OPTIONS', 'positive']]","['LOCATION#GENERAL', 'ROOMS#DESIGN&FEATURES', 'ROOMS#COMFORT', 'DRINKS#QUALITY', 'DRINKS#STYLE&OPTIONS']","['positive', 'positive', 'positive', 'positive', 'positive']",-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,1.0,-0.5,1.0,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#17,kỳ nghỉ đêm khách_sạn tuyệt_vời nâng_cấp phòng cao_cấp phòng đẹp cửa_sổ hồ hơi trung_tâm thành_phố chút hãng taxi quanh bảo_tàng dân_tộc_học sân_bay nhân_viên nhiệt_tình bữa ngon lựa_chọn,"[['HOTEL#COMFORT', 'positive'], ['ROOMS#DESIGN&FEATURES', 'positive'], ['LOCATION#GENERAL', 'positive'], ['SERVICE#GENERAL', 'positive'], ['DRINKS#QUALITY', 'positive'], ['DRINKS#STYLE&OPTIONS', 'positive']]","['HOTEL#COMFORT', 'ROOMS#DESIGN&FEATURES', 'LOCATION#GENERAL', 'SERVICE#GENERAL', 'DRINKS#QUALITY', 'DRINKS#STYLE&OPTIONS']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive']",-0.5,-0.5,1.0,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,1.0,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#18,phòng sạch đẹp tiện_nghi view hồ tây tuyệt khách_sạn mặt_đường tiện bắt taxi bữa ngon món lựa_chọn,"[['ROOMS#CLEANLINESS', 'positive'], ['ROOMS#DESIGN&FEATURES', 'positive'], ['ROOMS#COMFORT', 'positive'], ['ROOMS#GENERAL', 'positive'], ['LOCATION#GENERAL', 'positive'], ['DRINKS#QUALITY', 'positive'], ['DRINKS#STYLE&OPTIONS', 'positive']]","['ROOMS#CLEANLINESS', 'ROOMS#DESIGN&FEATURES', 'ROOMS#COMFORT', 'ROOMS#GENERAL', 'LOCATION#GENERAL', 'DRINKS#QUALITY', 'DRINKS#STYLE&OPTIONS']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive']",-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,1.0,-0.5,-0.5,1.0,-0.5,1.0,1.0,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#19,khách_sạn dịch_vụ chất_lượng khách_sạn xứng_đáng tiền hài_lòng trải đêm khách_sạn,"[['HOTEL#GENERAL', 'neutral'], ['HOTEL#PRICES', 'positive'], ['HOTEL#COMFORT', 'positive']]","['HOTEL#GENERAL', 'HOTEL#PRICES', 'HOTEL#COMFORT']","['neutral', 'positive', 'positive']",-0.5,0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#20,đi du_lịch hạ_long hải phòng hà_nội khách_sạn kiểm_tra phòng ấn_tượng dịch_vụ cung_cấp chủ khách_sạn đầu_tư trang_trí khách_sạn đá cẩm_thạch nhập_khẩu nước_ngoài sạch_sẽ phòng khách_sạn khách_sạn nhà_hàng tầng view đẹp nhà_hàng_phục_vụ thức_ăn đề_nghị đầu_bếp thử món lẩu thịt bò trộn gà nhật sabu sabu trung quốc ấn_tượng món phở khách_sạn trải nghiệm thú_vị,"[['HOTEL#GENERAL', 'positive'], ['HOTEL#DESIGN&FEATURES', 'positive'], ['ROOMS#CLEANLINESS', 'positive'], ['FACILITIES#GENERAL', 'positive'], ['DRINKS#QUALITY', 'positive'], ['HOTEL#COMFORT', 'positive']]","['HOTEL#GENERAL', 'HOTEL#DESIGN&FEATURES', 'ROOMS#CLEANLINESS', 'FACILITIES#GENERAL', 'DRINKS#QUALITY', 'HOTEL#COMFORT']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive']",1.0,1.0,-0.5,-0.5,1.0,-0.5,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#21,tìm_kiếm khách_sạn cao_cấp khuyên khách_sạn thừa_nhận khu_phố cổ hồ tây rộng thoáng mát phòng sạch_sẽ ban_công tv màn_hình_phẳng bồn_tắm đường_phố ồn_ào nhà_hàng tầng thượng cảnh_quan tuyệt_vời món dịch_vụ masage thoải_mái tuyệt_vời giá hợp_lý phụ_nữ quầy lễ_tân chuyên_nghiệp sắp_xếp vé tàu vé máy_bay nhà_hàng du_lịch nổi_tiếng hà_nội,"[['HOTEL#GENERAL', 'positive'], ['LOCATION#GENERAL', 'positive'], ['HOTEL#DESIGN&FEATURES', 'positive'], ['HOTEL#COMFORT', 'positive'], ['ROOMS#CLEANLINESS', 'positive'], ['ROOM_AMENITIES#GENERAL', 'positive'], ['FACILITIES#DESIGN&FEATURES', 'positive'], ['DRINKS#QUALITY', 'positive'], ['FACILITIES#QUALITY', 'positive'], ['FACILITIES#PRICES', 'positive'], ['SERVICE#GENERAL', 'positive']]","['HOTEL#GENERAL', 'LOCATION#GENERAL', 'HOTEL#DESIGN&FEATURES', 'HOTEL#COMFORT', 'ROOMS#CLEANLINESS', 'ROOM_AMENITIES#GENERAL', 'FACILITIES#DESIGN&FEATURES', 'DRINKS#QUALITY', 'FACILITIES#QUALITY', 'FACILITIES#PRICES', 'SERVICE#GENERAL']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive']",1.0,1.0,1.0,1.0,1.0,-0.5,-0.5,1.0,-0.5,-0.5,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#22,khách_sạn sunset westlake hà_nội bữa khách_sạn phong_phú phòng view đẹp nhân_viên nhiệt_tình,"[['HOTEL#GENERAL', 'positive'], ['DRINKS#STYLE&OPTIONS', 'negative'], ['ROOMS#GENERAL', 'positive'], ['SERVICE#GENERAL', 'positive']]","['HOTEL#GENERAL', 'DRINKS#STYLE&OPTIONS', 'ROOMS#GENERAL', 'SERVICE#GENERAL']","['positive', 'negative', 'positive', 'positive']",-0.5,1.0,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#23,minh rat thich dia diem ks g minh nhin vua co_bien co nui di_bo doc duong bien rat mat va co nhieu hang quan vui nhon gia ca chap nhan noi minh rat thich va se la tuyet voi neu nhu_minh duoc phuc vu khan lau bi rach cu minh nghi kai nhung co den la phuc vu khan o the goi la khan cua ks that dang tiec,"[['LOCATION#GENERAL', 'positive'], ['HOTEL#PRICES', 'positive'], ['ROOM_AMENITIES#QUALITY', 'negative']]","['LOCATION#GENERAL', 'HOTEL#PRICES', 'ROOM_AMENITIES#QUALITY']","['positive', 'positive', 'negative']",-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#24,khách_sạn khu siêu_thị chợ nhân_viên phục_vụ tiếp_tân phục_vụ phòng phòng sạch_sẽ dịch_vụ chudu dịch_vụ chuyên_nghiệp nhân_viên vui_vẻ phong_cách làm_việc,"[['LOCATION#GENERAL', 'positive'], ['SERVICE#GENERAL', 'positive'], ['ROOMS#CLEANLINESS', 'positive']]","['LOCATION#GENERAL', 'SERVICE#GENERAL', 'ROOMS#CLEANLINESS']","['positive', 'positive', 'positive']",-0.5,-0.5,1.0,1.0,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#25,dịch_vụ thái_độ phục_vụ,"[['HOTEL#GENERAL', 'positive'], ['SERVICE#GENERAL', 'positive']]","['HOTEL#GENERAL', 'SERVICE#GENERAL']","['positive', 'positive']",-0.5,1.0,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#26,đi đà_nẵng khách_sạn công_đoàn thanh_bình khách_sạn cũ phòng phòng_vệ_sinh cũ bẩn lễ_tân nhiệt_tình thân_thiện phục_vụ phòng vô ý_thức cười to dọn phòng sạch hôm quên dọn phòng khách_sạn công_đoàn thanh_bình đà_nẵng,"[['HOTEL#DESIGN&FEATURES', 'negative'], ['ROOMS#DESIGN&FEATURES', 'negative'], ['ROOMS#CLEANLINESS', 'negative'], ['SERVICE#GENERAL', 'negative'], ['HOTEL#GENERAL', 'negative']]","['HOTEL#DESIGN&FEATURES', 'ROOMS#DESIGN&FEATURES', 'ROOMS#CLEANLINESS', 'SERVICE#GENERAL', 'HOTEL#GENERAL']","['negative', 'negative', 'negative', 'negative', 'negative']",-1.0,-1.0,-0.5,-1.0,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#27,giá_cả mềm hợp túi_tiền phòng sạch gọn_gàng hài_lòng khách_sạn kỳ nghỉ mytour,"[['HOTEL#PRICES', 'positive'], ['ROOMS#CLEANLINESS', 'positive'], ['HOTEL#COMFORT', 'positive']]","['HOTEL#PRICES', 'ROOMS#CLEANLINESS', 'HOTEL#COMFORT']","['positive', 'positive', 'positive']",-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#28,hơi trung_tâm bãi biển đẹp lắm tiện_nghi khách_sạn đầy_đủ nhân viện thân_thiện vui_vẻ xung_quanh khách_sạn yên_tĩnh đông vui lắm,"[['LOCATION#GENERAL', 'negative'], ['FACILITIES#GENERAL', 'positive'], ['SERVICE#GENERAL', 'positive']]","['LOCATION#GENERAL', 'FACILITIES#GENERAL', 'SERVICE#GENERAL']","['negative', 'positive', 'positive']",-0.5,-0.5,-1.0,1.0,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#29,hài_lòng nghỉ nhân_viên phục_vụ linh_động dễ_thương khách_sạn trung_tâm chất_lượng phòng thoải_mái dễ_chịu,"[['HOTEL#COMFORT', 'positive'], ['SERVICE#GENERAL', 'positive'], ['LOCATION#GENERAL', 'positive'], ['ROOMS#QUALITY', 'positive'], ['ROOMS#COMFORT', 'positive']]","['HOTEL#COMFORT', 'SERVICE#GENERAL', 'LOCATION#GENERAL', 'ROOMS#QUALITY', 'ROOMS#COMFORT']","['positive', 'positive', 'positive', 'positive', 'positive']",-0.5,-0.5,1.0,1.0,1.0,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#30,khuôn_viên khách_sạn rộng_rãi sảnh đón bãi đậu xe phòng khách_sạn tiêu_chuẩn,"[['HOTEL#DESIGN&FEATURES', 'positive'], ['HOTEL#QUALITY', 'negative']]","['HOTEL#DESIGN&FEATURES', 'HOTEL#QUALITY']","['positive', 'negative']",1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
#31,vui nhân_viên phục_vụ khách_sạn phục_vụ nhiệt_tình hài_lòng giá phòng hợp_lý bufet,"[['SERVICE#GENERAL', 'positive'], ['ROOMS#PRICES', 'positive']]","['SERVICE#GENERAL', 'ROOMS#PRICES']","['positive', 'positive']",-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
